id,nuts2,nuts2_method
BE_54,BE21,inside
BE_55,BE33,inside
BE_56,BE33,inside
BE_57,BE21,inside
BE_58,BE32,inside
BE_59,BE31,inside
BE_6,BE10,inside
BE_60,BE22,inside
BE_61,BE23,inside
BE_62,BE35,inside
BE_628,BE25,inside
BE_629,BE33,inside
BE_63,BE22,inside
BE_630,BE23,inside
BE_631,BE25,inside
BE_632,BE25,inside
BE_633,BE10,inside
BE_64,BE10,inside
BE_65,BE10,inside
BE_66,BE10,inside
BE_67,BE24,inside
BE_68,BE23,inside
BE_69,BE10,inside
BE_7,BE10,inside
BE_70,BE25,inside
BE_71,BE23,inside
BE_72,BE22,inside
BE_728,BE21,inside
BE_729,BE24,inside
BE_73,BE21,inside
BE_730,BE21,inside
BE_731,BE25,inside
BE_732,BE22,inside
BE_733,BE23,inside
BE_734,BE24,inside
BE_735,BE25,inside
BE_736,BE24,inside
BE_737,BE21,inside
BE_738,BE24,inside
BE_739,BE25,inside
BE_74,BE23,inside
BE_740,BE23,inside
BE_741,BE21,inside
BE_742,BE10,inside
BE_743,BE34,inside
BE_744,BE23,inside
BE_745,BE25,inside
BE_746,BE21,inside
BE_747,BE21,inside
BE_748,BE21,inside
BE_749,BE23,inside
BE_75,BE23,inside
BE_750,BE23,inside
BE_751,BE21,inside
BE_752,BE25,inside
BE_753,BE23,inside
BE_754,BE21,inside
BE_755,BE10,inside
BE_756,BE25,inside
BE_757,BE32,inside
BE_758,BE34,inside
BE_759,BE34,inside
BE_76,BE24,inside
BE_760,BE23,inside
BE_761,BE21,inside
BE_77,BE23,inside
BE_78,BE23,inside
BE_79,BE21,inside
BE_8,BE10,inside
BE_80,BE25,inside
BE_81,BE25,inside
BE_82,BE25,inside
BE_83,BE23,inside
BE_84,BE32,inside
BE_85,BE32,inside
BE_86,BE33,inside
BE_87,BE33,inside
BE_88,BE32,inside
BE_89,BE34,inside
BE_9,BE10,inside
BE_90,BE32,inside
BE_91,BE31,inside
BE_92,BE21,inside
BE_93,BE35,inside
BE_94,BE23,inside
BE_95,BE10,inside
BE_96,BE23,inside
BE_97,BE24,inside
BE_98,BE21,inside
BE_99,BE21,inside
BG_1,BG34,inside
BG_10,BG31,inside
BG_100,BG42,inside
BG_101,BG34,inside
BG_102,BG34,inside
BG_103,BG34,inside
BG_104,BG34,inside
BG_105,BG33,inside
BG_106,BG32,inside
BG_107,BG41,inside
BG_108,BG31,inside
BG_109,BG34,inside
BG_11,BG41,inside
BG_110,BG41,inside
BG_111,BG31,inside
BG_112,BG34,inside
BG_113,BG33,inside
BG_114,BG41,inside
BG_115,BG42,inside
BG_116,BG34,inside
BG_117,BG42,inside
BG_118,BG34,inside
BG_119,BG32,inside
BG_12,BG31,inside
BG_120,BG42,inside
BG_121,BG42,inside
BG_122,BG32,inside
BG_123,BG34,inside
BG_124,BG32,inside
BG_125,BG34,inside
BG_126,BG42,inside
BG_127,BG42,inside
BG_128,BG42,inside
BG_129,BG34,inside
BG_13,BG31,inside
BG_130,BG42,inside
BG_131,BG42,inside
BG_132,BG34,inside
BG_133,BG41,inside
BG_134,BG31,inside
BG_135,BG32,inside
BG_136,BG31,inside
BG_137,BG31,inside
BG_138,BG32,inside
BG_14,BG31,inside
BG_140,BG41,inside
BG_141,BG33,inside
BG_142,BG42,inside
BG_143,BG32,inside
BG_144,BG41,inside
BG_145,BG33,inside
BG_146,BG42,inside
BG_147,BG41,inside
BG_148,BG33,inside
BG_149,BG34,inside
BG_15,BG34,inside
BG_150,BG32,inside
BG_151,BG34,inside
BG_152,BG34,inside
BG_153,BG41,inside
BG_16,BG33,inside
BG_17,BG33,inside
BG_18,BG33,inside
BG_19,BG41,inside
BG_2,BG34,inside
BG_20,BG31,inside
BG_201534,BG32,inside
BG_202072,BG34,inside
BG_202192,BG42,inside
BG_202233,BG34,inside
BG_202492,BG33,nearest_5km
BG_202758,BG32,inside
BG_202843,BG32,inside
BG_203535,BG41,inside
BG_203776,BG33,inside
BG_203779,BG42,inside
BG_203780,BG42,inside
BG_205061,BG33,inside
BG_205828,BG33,inside
BG_206125,BG34,inside
BG_206272,BG34,inside
BG_206950,BG42,inside
BG_21,BG32,inside
BG_210496,BG33,inside
BG_210588,BG33,inside
BG_216401,BG41,inside
BG_216420,BG41,inside
BG_218020,BG31,inside
BG_22,BG32,inside
BG_220040,BG33,inside
BG_221254,BG42,inside
BG_223447,BG31,inside
BG_23,BG42,inside
BG_24,BG42,inside
BG_25,BG42,inside
BG_26,BG32,inside
BG_27,BG31,inside
BG_28,BG31,inside
BG_29,BG31,inside
BG_3,BG31,inside
BG_30,BG31,inside
BG_31,BG42,inside
BG_32,BG34,inside
BG_33,BG33,inside
BG_34,BG41,inside
BG_35,BG41,inside
BG_36,BG32,inside
BG_37,BG34,inside
BG_38,BG41,inside
BG_39,BG31,inside
BG_4,BG41,inside
BG_40,BG31,inside
BG_41,BG32,inside
BG_42,BG42,inside
BG_43,BG42,inside
BG_44,BG31,inside
BG_45,BG33,inside
BG_46,BG31,inside
BG_47,BG42,inside
BG_48,BG31,inside
BG_49,BG31,inside
BG_5,BG33,inside
BG_50,BG42,inside
BG_51,BG34,inside
BG_52,BG32,inside
BG_53,BG42,inside
BG_54,BG41,inside
BG_55,BG32,inside
BG_56,BG42,inside
BG_57,BG33,inside
BG_58,BG31,inside
BG_59,BG42,inside
BG_6,BG33,inside
BG_60,BG41,inside
BG_61,BG32,inside
BG_62,BG41,inside
BG_63,BG41,inside
BG_64,BG42,inside
BG_65,BG41,inside
BG_66,BG34,inside
BG_67,BG42,inside
